,Type,Fund,Institution,City,State,Country,Grant,Purpose,year,currency,grant_sum,conversion_rate,usd
189,Social Services,German Government,Jewish Family Service of Bergen and North Hudson,Teaneck,NJ,United States,"$489,674 ",Toward in-home services for vulnerable Jewish Nazi victims.,2016,USD,489674,1.0,489674.0
190,Social Services,German Government,Jewish Family Service of North Jersey,Wayne,NJ,United States,"$854,363 ",Toward in-home services for vulnerable Jewish Nazi victims.,2016,USD,854363,1.0,854363.0
191,Social Services,Successor Organization,Tzedaka Foundation,Buenos Aires,,Argentina,"$542,189 ",Toward social services for vulnerable Jewish Nazi victims.,2016,USD,542189,1.0,542189.0
192,Social Services,Successor Organization,Tzedaka Foundation,Buenos Aires,,Argentina,"$20,000 ",Toward the Café Europa program for Jewish Nazi victims.,2016,USD,20000,1.0,20000.0
193,Social Services,Successor Organization,COA Sydney Incorporated,Sydney,,Australia,"$115,500 ",Toward meals on wheels for vulnerable Jewish Nazi victims.,2016,USD,115500,1.0,115500.0
194,Social Services,Successor Organization,"JewishCare, New South Wales",Sydney,,Australia,"$6,253 ",Toward social services for vulnerable Jewish Nazi victims.,2016,USD,6253,1.0,6253.0
195,Social Services,Successor Organization,Sydney Jewish Museum,Sydney,,Australia,"$25,000 ",Toward professional development for teachers in support of the national curriculums Holocaust education requirements.,2016,USD,25000,1.0,25000.0
196,"Education, Documentation and Research",Successor Organization,Central Europe Center for Research and Documentation,Vienna,,Austria,"$5,436 ",toward two educational short films on Jewish Holocaust survivors from the Balkans,2016,USD,5436,1.0,5436.0
197,Social Services,Successor Organization,Central Europe Center for Research and Documentation,Vienna,,Austria,"$6,232 ",Toward the Budapest Café Centropa socialization program for Jewish Nazi victims.,2016,USD,6232,1.0,6232.0
198,Social Services,Successor Organization,ESRA,Vienna,,Austria,"$9,556 ",Toward social services for vulnerable Jewish Nazi victims.,2016,USD,9556,1.0,9556.0
199,"Education, Documentation and Research",Successor Organization,Theodor Kramer Gesellschaft,Vienna,,Austria,"$1,326 ",Toward researching the theft of cultural property in Austria during the Holocaust.,2016,USD,1326,1.0,1326.0
200,"Education, Documentation and Research",Successor Organization,University of Vienna / Faculty of Law,Vienna,,Austria,"$6,820 ","Toward research on the 4,000 Austrian Jewish doctors whose rights were stripped, with all information to be published and made into an exhibition.",2016,USD,6820,1.0,6820.0
201,Social Services,Successor Organization,Representative Office of the American Jewish Joint Distribution Committee in Belarus,Minsk,,Belarus,"$154,122 ",Toward lifesaving social services for vulnerable Jewish Nazi victims as operated by the Hesed organizations in this region.,2016,USD,154122,1.0,154122.0
202,"Education, Documentation and Research",Successor Organization,Vladimir Bokun Studio,Minsk,,Belarus,"$9,375 ",Toward production and post-production costs for For Freedom and Honor commencing October 2014,2016,USD,9375,1.0,9375.0
203,"Education, Documentation and Research",Successor Organization,Conference of European Rabbis / Lo Tishkach Project,Antwerp,,Belgium,"$100,000 ","Toward a publicly-accessible database with information on Jewish burial grounds in Europe, a compendium of laws affecting these sites and advocacy to protect and preserve Europe's Jewish heritage.",2016,USD,100000,1.0,100000.0
204,Social Services,Successor Organization,"Royal Society for Jewish Welfare ""Centrale""",Antwerp,,Belgium,"$31,651 ",Toward social services for vulnerable Jewish Nazi victims.,2016,USD,31651,1.0,31651.0
205,Social Services,Successor Organization,La Benevolencija,Sarajevo,,Bosnia-Herzegovina,"$41,005 ",Toward social services for vulnerable Jewish Nazi victims.,2016,USD,41005,1.0,41005.0
206,"Education, Documentation and Research",Successor Organization,Associação Esportiva e Recreativa Hillel Rio de Janeiro,Rio de Janeiro,,Brazil,"$30,000 ","Toward the educational youth visit to Poland and Israel, for a minimum of 25 students.",2016,USD,30000,1.0,30000.0
207,Social Services,Successor Organization,"Instituicao Beneficente Israelita ""Ten Yad""",Sao Paulo,,Brazil,"$99,536 ",Toward the food program for vulnerable Jewish Nazi victims.,2016,USD,99536,1.0,99536.0
208,"Education, Documentation and Research",Successor Organization,Jewish Federation of São Paulo (FISESP),São Paulo,,Brazil,"$80,000 ","Toward the educational youth visit to Poland and Israel, for a minimum of 90 students.",2016,USD,80000,1.0,80000.0
209,Social Services,Successor Organization,Uniao Brasileiro-Israelita do Bem-Estar Social - UNIBES,Sao Paulo,,Brazil,"$99,579 ",Toward social services for vulnerable Jewish Nazi victims.,2016,USD,99579,1.0,99579.0
210,"Education, Documentation and Research",Successor Organization,Lea Cohen,Sofia,,Bulgaria,"$11,250 ","Toward the research and development of ""You Believe,"" a documentary about two Jewish brothers tried and hanged by the Bulgarian government in 1943. ",2016,USD,11250,1.0,11250.0
211,"Education, Documentation and Research",Successor Organization,Atlantic Jewish Council,Halifax,NS,Canada,"$2,308 ",Toward community Holocaust education programs.,2016,USD,2308,1.0,2308.0
212,Social Services,Successor Organization,Baycrest Center for Geriatric Care,Toronto,ON,Canada,"$10,000 ",Toward the Café Europa program for Jewish Nazi victims.,2016,USD,10000,1.0,10000.0
213,Social Services,Successor Organization,Bikur Cholim Jewish Volunteer Services of Toronto,Toronto,ON,Canada,"$27,000 ",Toward social services for vulnerable Jewish Nazi victims.,2016,USD,27000,1.0,27000.0
214,Social Services,Successor Organization,B'nai Brith Canada,Toronto,ON,Canada,"$5,000 ",Toward the Café Europa program for Jewish Nazi victims.,2016,USD,5000,1.0,5000.0
215,Social Services,Successor Organization,Jewish Child and Family Service,Winnipeg,MB,Canada,"$3,500 ",Toward the Café Europa program for Jewish Nazi victims.,2016,USD,3500,1.0,3500.0
216,Social Services,Successor Organization,Jewish Family & Child Service,Toronto,ON,Canada,"$85,000 ",Toward social services for vulnerable Jewish Nazi victims.,2016,USD,85000,1.0,85000.0
217,Social Services,Successor Organization,Jewish Family Service Agency,Vancouver,BC,Canada,"$76,082 ",Toward social services for vulnerable Jewish Nazi victims.,2016,USD,76082,1.0,76082.0
218,Social Services,Successor Organization,Jewish Family Services of Ottawa,Ottawa,ON,Canada,"$25,946 ",Toward social services for vulnerable Jewish Nazi victims.,2016,USD,25946,1.0,25946.0
219,"Education, Documentation and Research",Successor Organization,Matan Baseter,Toronto,ON,Canada,"$6,000 ",Toward research analyzing the diverse Jewish responses to the Holocaust in Europe.,2016,USD,6000,1.0,6000.0
220,Social Services,Successor Organization,"Montreal Child Survivors, Hidden Children",Cote St. Luc,QC,Canada,"$5,000 ",Toward the Café Europa program for Jewish Nazi victims.,2016,USD,5000,1.0,5000.0
221,"Education, Documentation and Research",Successor Organization,Montreal Holocaust Memorial Centre,Montreal,QC,Canada,"$4,688 ",Toward the Holocaust Education Series.,2016,USD,4688,1.0,4688.0
222,"Education, Documentation and Research",Successor Organization,"Sarah and Chaim Neuberger Holocaust Education Centre, UJA Federation of Greater Toronto",Toronto,ON,Canada,"$15,867 ",Toward the Holocaust Educators Study Tour to Austria and Poland for a minimum of 26 participants.,2016,USD,15867,1.0,15867.0
223,Social Services,Successor Organization,Vancouver Holocaust Education Centre,Vancouver,BC,Canada,"$16,500 ","Toward case management for vulnerable Jewish Nazi victims, and the socialization program. ",2016,USD,16500,1.0,16500.0
224,Social Services,Successor Organization,Reshet,Santiago,,Chile,"$30,000 ",Toward social services for vulnerable Jewish Nazi victims.,2016,USD,30000,1.0,30000.0
225,Social Services,Successor Organization,Association of Holocaust Survivors in Croatia,Zagreb,,Croatia,"$13,965 ",Toward the Café Europa program for Jewish Nazi victims.,2016,USD,13965,1.0,13965.0
226,"Education, Documentation and Research",Successor Organization,Association of Holocaust Survivors in Croatia,Zagreb,,Croatia,"$18,386 ","Toward researching, collecting and publishing information about Croatian Holocaust survivors. ",2016,USD,18386,1.0,18386.0
227,Social Services,Successor Organization,Jewish Community Zagreb,Zagreb,,Croatia,"$67,968 ",Toward social services for vulnerable Jewish Nazi victims.,2016,USD,67968,1.0,67968.0
228,Social Services,Successor Organization,Hidden Child Prague,Prague,,Czech Republic,"$5,320 ",Toward the Café Europa program for Jewish Nazi victims.,2016,USD,5320,1.0,5320.0
229,"Education, Documentation and Research",Successor Organization,International Christian Embassy Jerusalem,Prague,,Czech Republic,"$3,833 ",Toward research on Jewish resistance in Slovakia during the Holocaust.,2016,USD,3833,1.0,3833.0
230,"Education, Documentation and Research",Successor Organization,Jewish Museum in Prague,Prague,,Czech Republic,"$25,697 ","Toward collecting, compiling and creating a database of a list of Jews who lived in the Sudetenland, the Western part of Czechoslovakia prior to WWII, and interviewing, recording and publishing online oral testimonies from 15 survivors.",2016,USD,25697,1.0,25697.0
231,"Education, Documentation and Research",Successor Organization,Terezin Initiative - International Terezin Association,Prague,,Czech Republic,"$12,500 ",Toward educational visits of approximately 70 classes of Czech students to the Terezin Memorial.,2016,USD,12500,1.0,12500.0
232,"Education, Documentation and Research",Successor Organization,Terezin Initiative Institute,Prague,,Czech Republic,"$8,333 ","Toward the Terezin Album Project, a database project memorializing Holocaust victims from the Czech lands.",2016,USD,8333,1.0,8333.0
233,Social Services,Successor Organization,The Jewish Community in Denmark,Copenhagen,,Denmark,"$47,019 ",Toward social services for vulnerable Jewish Nazi victims.,2016,USD,47019,1.0,47019.0
234,Social Services,Successor Organization,CASIP - COJASOR,Paris,,France,"$619,129 ",Toward social services for vulnerable Jewish Nazi victims.,2016,USD,619129,1.0,619129.0
235,"Education, Documentation and Research",Successor Organization,Memorial de la Shoah,Paris,,France,"$81,936 ",Toward Holocaust seminars and teacher training sessions.,2016,USD,81936,1.0,81936.0
236,"Education, Documentation and Research",Successor Organization,Memorial de la Shoah,Paris,,France,"$89,160 ","Toward digitizing photos of the 76,000 Jewish deportees from France and their families, before and during WWII, and preserving and digitizing 3,500 photos depicting the French internment camps. ",2016,USD,89160,1.0,89160.0
237,"Education, Documentation and Research",Successor Organization,Memorial de la Shoah,Paris,,France,"$15,020 ",Toward cataloging and digitizing archive collections of the Memorial de la Shoah Center of Contemporary Jewish Documentation.,2016,USD,15020,1.0,15020.0
238,"Education, Documentation and Research",Successor Organization,The Aladdin Project,Paris,,France,"$25,690 ","Toward Holocaust education seminars in Azerbaijan, Kazakhstan, Senegal and Morocco.",2016,USD,25690,1.0,25690.0
239,"Education, Documentation and Research",Successor Organization,The Aladdin Project,Paris,,France,"$124,949 ","Toward Holocaust education seminars in India, Indonesia, Tanzania and South Africa.",2016,USD,124949,1.0,124949.0
240,Social Services,Successor Organization,Child Survivors Deutschland,Berlin,,Germany,"$9,849 ",Toward the Café Europa program for Jewish Nazi victims.,2016,USD,9849,1.0,9849.0
241,"Education, Documentation and Research",Successor Organization,Freie Universität Berlin,Berlin,,Germany,"$41,239 ","Toward training educators to use Visual History Archive in the classroom, developing a nationwide network of educators familiar with using testimony in Holocaust education curriculum, and developing the online platform for teachers and students.",2016,USD,41239,1.0,41239.0
242,"Education, Documentation and Research",Successor Organization,Freie Universität Berlin,Berlin,,Germany,"$12,741 ","Toward 15 subsidies of up to 750 each for Freie Universit?t Berlin participants in the joint seminar with the Hebrew University of Jerusalem, ""Memory, Remembrance and Public History in Germany and Israel.""",2016,USD,12741,1.0,12741.0
243,"Education, Documentation and Research",Successor Organization,Freie Universität Berlin,Berlin,,Germany,"$18,147 ",Toward a survey on the status of Holocaust education in German universities.,2016,USD,18147,1.0,18147.0
244,Social Services,Successor Organization,Israelitische Gemeinde Würzburg,Würzburg,,Germany,"$2,768 ",Toward the Café Europa program for Jewish Nazi victims.,2016,USD,2768,1.0,2768.0
245,Social Services,Successor Organization,Israelitische Kultusgemeinde Lörrach,Lörrach,,Germany,"$2,484 ",Toward the Café Europa program for Jewish Nazi victims.,2016,USD,2484,1.0,2484.0
246,Social Services,Successor Organization,Israelitische Kultusgemeinde München und Oberbayern K.d.ö.R.,Munich,,Germany,"$12,442 ",Toward the Café Europa program for Jewish Nazi victims.,2016,USD,12442,1.0,12442.0
247,Social Services,Successor Organization,Jewish Community of Hamburg,Hamburg,,Germany,"$5,655 ",Toward the Café Europa program for Jewish Nazi victims.,2016,USD,5655,1.0,5655.0
248,Social Services,Successor Organization,Jewish Community of Offenbach,Offenbach,,Germany,"$1,916 ",Toward the Café Europa program for Jewish Nazi victims.,2016,USD,1916,1.0,1916.0
249,Social Services,Successor Organization,Jüdische Gemeinde der Stadt Potsdam,Potsdam,,Germany,"$2,030 ",Toward the Café Europa program for Jewish Nazi victims.,2016,USD,2030,1.0,2030.0
250,Social Services,Successor Organization,Jüdische Gemeinde Kiel,Kiel,,Germany,$710,Toward the Café Europa program for Jewish Nazi victims.,2016,USD,710,1.0,710.0
251,Social Services,Successor Organization,Jüdische Gemeinde Mönchengladbach,Mönchengladbach,,Germany,"$3,888 ",Toward the Café Europa program for Jewish Nazi victims.,2016,USD,3888,1.0,3888.0
252,Social Services,Successor Organization,Jüdische Gemeinde zu Berlin,Berlin,,Germany,"$19,164 ",Toward the Café Europa program for Jewish Nazi victims.,2016,USD,19164,1.0,19164.0
253,Social Services,Successor Organization,Jüdische Kultusgemeinde Wuppertal,Wuppertal,,Germany,"$4,190 ",Toward the Café Europa program for Jewish Nazi victims.,2016,USD,4190,1.0,4190.0
254,Social Services,Successor Organization,Liberale Jüdische Gemeinde Hannover,Hannover,,Germany,"$2,459 ",Toward the Café Europa program for Jewish Nazi victims.,2016,USD,2459,1.0,2459.0
255,Social Services,Successor Organization,Zentralwohlfahrtsstelle der Juden in Deutschland e.V.,Frankfurt am Main,,Germany,"$663,015 ",Toward social services for vulnerable Jewish Nazi victims.,2016,USD,663015,1.0,663015.0
256,Social Services,Successor Organization,Central Board of Jewish Communities in Greece,Athens,,Greece,"$528,496 ",Toward emergency services for vulnerable Jewish Nazi victims.,2016,USD,528496,1.0,528496.0
257,"Education, Documentation and Research",Successor Organization,Jewish Museum of Greece,Athens,,Greece,"$15,500 ",Toward the Holocaust-related educator training programs in five Greek towns and the advanced educators seminar.,2016,USD,15500,1.0,15500.0
258,"Education, Documentation and Research",Successor Organization,Action and Protection Foundation,Budapest,,Hungary,"$28,256 ",Toward the teacher training program with a minimum of four seminars.,2016,USD,28256,1.0,28256.0
259,"Education, Documentation and Research",Successor Organization,Civitas Europica Centalis Foundation,Budapest,,Hungary,"$15,883 ","Toward researching and analyzing the role of churches in strengthening anti-Semitism in Czechoslovakia, Hungary and Romania 1920-1944.",2016,USD,15883,1.0,15883.0
260,"Education, Documentation and Research",Successor Organization,Hungarian Autonomous Orthodox Jewish Community,Budapest,,Hungary,"$11,458 ",Toward salvaging Shoah-related documents and books of the Hungarian Orthodox Jewish community.,2016,USD,11458,1.0,11458.0
261,"Education, Documentation and Research",Successor Organization,"Institute of Social Relations - Faculty of Social Sciences, Eötvös Loránd University of Sciences",Budapest,,Hungary,"$15,000 ",Toward the Holocaust-era aspects of the research project Political Transitions and Jewish Communities  Hungary 1848-1956.,2016,USD,15000,1.0,15000.0
262,"Education, Documentation and Research",Successor Organization,Katapult Film,Budapest,,Hungary,"$10,000 ","Toward the production costs of ""Homecoming.""",2016,USD,10000,1.0,10000.0
263,"Education, Documentation and Research",Successor Organization,Katapult Hazateres-1945 Kft.,Budapest,,Hungary,"$10,000 ","Toward producing the narrative film, ""Homecoming.""",2016,USD,10000,1.0,10000.0
264,"Education, Documentation and Research",Successor Organization,Holocaust Educational Trust of Ireland,Dublin,,Ireland,"$17,110 ",Toward the Certificate in Holocaust Education for a minimum of 11 educators continuing to the Yad Vashem portion of the program.,2016,USD,17110,1.0,17110.0
265,"Education, Documentation and Research",Successor Organization,Agudat Beit Yaacov,Tel Aviv,,Israel,"$40,749 ",Toward Holocaust teacher training courses.,2016,USD,40749,1.0,40749.0
266,"Education, Documentation and Research",Successor Organization,Agudat Mitpaleley Beit-Knesset Struma Meyasdey Museum Struma,Beer Sheva,,Israel,"$3,629 ",Toward middle and high school student and soldier visits.,2016,USD,3629,1.0,3629.0
267,"Education, Documentation and Research",Successor Organization,Alexander Muss Institute for Israel Education (AMIIE),Hod Hasharon,,Israel,"$20,000 ",Toward student stipends of up to $250 per participant for educational visits of North American students to Poland as part of the Institute's High School in Israel program.,2016,USD,20000,1.0,20000.0
268,Social Services,Successor Organization,AMCHA,Jerusalem,,Israel,"$1,093,997 ","Toward mental health treatment, home-based psychotherapeutic treatment, psycho-social clubs, a friendly visiting program, rent and expenses.",2016,USD,1093997,1.0,1093997.0
269,Social Services,Successor Organization,AMCHA,Jerusalem,,Israel,"$32,510 ",Toward renovating the Ashdod branch and purchasing furnishings.,2016,USD,32510,1.0,32510.0
270,Social Services,Successor Organization,AMIGOUR,Tel-Aviv,,Israel,"$1,549,800 ",Toward establishing 107 sheltered housing units in Tel Aviv.,2016,USD,1549800,1.0,1549800.0
271,Social Services,Successor Organization,Amutat Misgav Lakashish,Jerusalem,,Israel,"$15,583 ",Toward the friendly visiting program for homebound Jewish Nazi victims.,2016,USD,15583,1.0,15583.0
272,Social Services,Successor Organization,Association for the Care of the Elderly in Hadera,Hadera,,Israel,"$188,559 ",Toward renovating and expanding the Weinberg day center and purchasing furnishings.,2016,USD,188559,1.0,188559.0
273,Social Services,Successor Organization,Association of Jews from Central Europe,Tel Aviv,,Israel,"$155,832 ",Toward the Solidaritaetswerk program for vulnerable Jewish Nazi victims,2016,USD,155832,1.0,155832.0
274,"Education, Documentation and Research",Successor Organization,Beit Berl College - The Holocaust Teaching Center,Doar Beit Berl,,Israel,"$25,786 ",Toward training educators to teach the Holocaust and stipends for up to 25 students for a Poland trip.\,2016,USD,25786,1.0,25786.0
275,"Education, Documentation and Research",Successor Organization,Beit Haedut - Yad Laad,Moshav Nir Galim,,Israel,"$174,201 ","Toward stipends for 4-day Holocaust-focused educational tours in Israel for Israeli high school students, for approximately 3,000 participants.",2016,USD,174201,1.0,174201.0
276,"Education, Documentation and Research",Successor Organization,Beit Lohamei Haghetaot-Ghetto Fighters' House Museum,M.P. Western Galilee,,Israel,"$8,659 ",Toward producing two sets of a total of seven short films for use in educational settings.,2016,USD,8659,1.0,8659.0
277,"Education, Documentation and Research",Successor Organization,Beit Lohamei Haghetaot-Ghetto Fighters' House Museum,M.P. Western Galilee,,Israel,"$197,632 ",Toward computerizing and digitizing the archive and uploading material to the website.,2016,USD,197632,1.0,197632.0
278,"Education, Documentation and Research",Successor Organization,Beit Lohamei Haghetaot-Ghetto Fighters' House Museum,M.P. Western Galilee,,Israel,"$4,329 ","Toward funding for Beit Lohamei Haghetaot's part in a Holocaust seminar in Israel for up to 30 educators from the FSU, done jointly with the Jewish Agency and Yad Vashem.",2016,USD,4329,1.0,4329.0
279,"Education, Documentation and Research",Successor Organization,Beit Lohamei Haghetaot-Ghetto Fighters' House Museum,M.P. Western Galilee,,Israel,"$39,933 ",Toward one-semester courses for in-service teachers.,2016,USD,39933,1.0,39933.0
280,"Education, Documentation and Research",Successor Organization,Beit Lohamei Haghetaot-Ghetto Fighters' House Museum,M.P. Western Galilee,,Israel,"$393,225 ",Toward seminars and study days on the Shoah for Israeli students in grades 712 and security forces.,2016,USD,393225,1.0,393225.0
281,Social Services,Successor Organization,Beit Shalom Herzliya  Parents House,Herzliya,,Israel,"$154,980 ","Toward upgrading the nursing department, comprising 30 beds, and purchasing furnishings. ",2016,USD,154980,1.0,154980.0
282,"Education, Documentation and Research",Successor Organization,Beit Theresienstadt,MP Emek Hefer,,Israel,"$52,209 ",Toward visits for Israeli students in grades 712 and soldiers.,2016,USD,52209,1.0,52209.0
283,"Education, Documentation and Research",Successor Organization,Beit Theresienstadt,MP Emek Hefer,,Israel,"$13,362 ","Toward photographing, scanning, digitizing and cataloguing the entire artifact collection.",2016,USD,13362,1.0,13362.0
284,Social Services,Successor Organization,Beit Yona - The Kirschenbaum Foundation for the Elderly,Beer Sheva,,Israel,"$516,600 ",Toward establishing a day center and purchasing furnishings.,2016,USD,516600,1.0,516600.0
285,"Education, Documentation and Research",Successor Organization,Ben-Zvi Institute for the Study of Jewish Communities in the East,Jerusalem,,Israel,"$30,243 ","Toward scanning, digitizing and labeling documents and photos related to North African Jewry during World War II, including uploading materials to the website.",2016,USD,30243,1.0,30243.0
286,"Education, Documentation and Research",Successor Organization,Beth Jacob Teachers Institute,Jerusalem,,Israel,"$39,051 ",Toward the Holocaust studies teacher training program and developing materials.,2016,USD,39051,1.0,39051.0
287,"Education, Documentation and Research",Successor Organization,Birthright Israel,Jerusalem,,Israel,"$18,814 ",Toward the Holocaust education component of the program.,2016,USD,18814,1.0,18814.0
288,Social Services,Successor Organization,Bnai Zion Government Medical Center,Haifa,,Israel,"$1,291,500 ",Toward upgrading an internal medicine department comprising 39 beds and purchasing furnishings.,2016,USD,1291500,1.0,1291500.0
289,"Education, Documentation and Research",Successor Organization,Central Zionist Archives,Jerusalem,,Israel,"$69,782 ","Toward sorting, preserving, cataloguing and digitizing Holocaust-related archival material.",2016,USD,69782,1.0,69782.0
290,"Education, Documentation and Research",Successor Organization,Chaos Films,Tel Aviv,,Israel,"$26,924 ","Toward the production of the film ""Living with Shadows.""",2016,USD,26924,1.0,26924.0
291,"Education, Documentation and Research",Successor Organization,Claims Conference - Poland Trips Stipends,Jerusalem,,Israel,"$74,880 ",Toward stipends for visits to Poland by Diaspora students in Israel for the year between high school and college.,2016,USD,74880,1.0,74880.0
292,"Education, Documentation and Research",Successor Organization,D.D. Productions,Tel Aviv,,Israel,"$16,411 ","Toward production of the film, ""You Only Die Twice.""",2016,USD,16411,1.0,16411.0
293,"Education, Documentation and Research",Successor Organization,Degel Yerushalayim Cultural Fund,Jerusalem,,Israel,"$8,243 ",Toward workships for Haredi teachers and youth leaders.,2016,USD,8243,1.0,8243.0
294,"Education, Documentation and Research",Successor Organization,Education and Culture Center - Chasidei Gur Seminary,Bnei Brak,,Israel,"$23,770 ",Toward the Holocaust studies teacher training program.,2016,USD,23770,1.0,23770.0
295,"Education, Documentation and Research",Successor Organization,Emek Yezreel College,M.P. Emek Yezreel,,Israel,"$19,132 ",Toward the Holocaust study and student volunteering project.,2016,USD,19132,1.0,19132.0
296,"Education, Documentation and Research",Successor Organization,Emunah-Efrata College for Education,Jerusalem,,Israel,"$25,638 ",Toward the Holocaust teacher training program.,2016,USD,25638,1.0,25638.0
297,"Education, Documentation and Research",Successor Organization,Eshel the Association for the Planning and Development of Services for the Aged in Israel,Jerusalem,,Israel,"$18,585 ","Toward five new groups in the ""Witness Theater"" program.",2016,USD,18585,1.0,18585.0
298,Social Services,Successor Organization,Foundation for the Benefit of Holocaust Victims in Israel,Tel Aviv,,Israel,"$65,773,458 ",Toward homecare for vulnerable Jewish Nazi victims.,2016,USD,65773458,1.0,65773458.0
299,"Education, Documentation and Research",Successor Organization,"Ginzach Kidush Hashem-Institute for Documentation, Research and Commemoration",Bnei Brak,,Israel,"$64,434 ","Toward digitizing and computerizing archival documents and photographs, and editing and uploading video testimonies to the website. ",2016,USD,64434,1.0,64434.0
300,"Education, Documentation and Research",Successor Organization,"Ginzach Kidush Hashem-Institute for Documentation, Research and Commemoration",Bnei Brak,,Israel,"$10,824 ",Toward study days for teachers.,2016,USD,10824,1.0,10824.0
301,"Education, Documentation and Research",Successor Organization,Gordon College of Education,Haifa,,Israel,"$18,592 ",Toward teacher training and stipends of $600 for up to 25 students for a study trip to Poland.,2016,USD,18592,1.0,18592.0
302,"Education, Documentation and Research",Successor Organization,Haifa University - Strochlitz Institute of Holocaust Studies,Haifa,,Israel,"$22,311 ","Toward the annual scholarly journal DAPIM  Studies on the Shoah, in Hebrew and English.",2016,USD,22311,1.0,22311.0
303,Social Services,Successor Organization,Hailpern Home for the Aged,Ashkelon,,Israel,"$774,900 ","Toward upgrading a nursing department including 16 beds, establishing 20 additional beds, and purchasing furnishings.",2016,USD,774900,1.0,774900.0
304,"Education, Documentation and Research",Successor Organization,"Havatzelet, Moreshet - Mordechai Anielevich Memorial Holocaust Study and Research Center",M.P. Menashe,,Israel,"$23,635 ","Toward the annual scholarly journal, Yalkut Moreshet, in Hebrew and English.",2016,USD,23635,1.0,23635.0
305,"Education, Documentation and Research",Successor Organization,"Havatzelet, Moreshet - Mordechai Anielevich Memorial Holocaust Study and Research Center",M.P. Menashe,,Israel,"$51,554 ",Toward Holocaust seminars for junior and senior high school students and soldiers.,2016,USD,51554,1.0,51554.0
306,"Education, Documentation and Research",Successor Organization,"Havatzelet, Moreshet - Mordechai Anielevich Memorial Holocaust Study and Research Center",M.P. Menashe,,Israel,"$2,625 ",Toward translating the visitors guide to Poland app into four languages and adapting it for tablets.,2016,USD,2625,1.0,2625.0
307,"Education, Documentation and Research",Successor Organization,"Havatzelet, Moreshet - Mordechai Anielevich Memorial Holocaust Study and Research Center",M.P. Menashe,,Israel,"$44,569 ","Toward the permanent exhibition, ""Leadership at the Crossroads of Decision."" ",2016,USD,44569,1.0,44569.0
308,"Education, Documentation and Research",Successor Organization,"Havatzelet, Moreshet - Mordechai Anielevich Memorial Holocaust Study and Research Center",M.P. Menashe,,Israel,"$7,793 ","Toward developing and translating curriculum materials and texts for exhibition panels, teacher training seminars for Arab principals and teachers, and study days for middle and high school students from the Arab sector.",2016,USD,7793,1.0,7793.0
309,"Education, Documentation and Research",Successor Organization,"Havatzelet, Moreshet - Mordechai Anielevich Memorial Holocaust Study and Research Center",M.P. Menashe,,Israel,"$21,223 ",Toward Holocaust teacher training for teachers and Poland trip educators.,2016,USD,21223,1.0,21223.0
310,Social Services,Successor Organization,Health Clinic Care Program - Ministry of Health,Jerusalem,,Israel,"$94,280 ",Toward expanding mental health assistance to Jewish Nazi victims.,2016,USD,94280,1.0,94280.0
311,"Education, Documentation and Research",Successor Organization,"Hebrew Union College - Jewish Institute of Religion, Jerusalem",Jerusalem,,Israel,"$10,400 ",Toward a six-day field seminar on the Holocaust in Lithuania.,2016,USD,10400,1.0,10400.0
312,"Education, Documentation and Research",Successor Organization,Hebrew University - Research Authority,Jerusalem,,Israel,"$18,000 ","Toward 15 subsidies of up to $1,200 each for Hebrew University participants in the joint seminar with Freie Universit?t Berlin entitled ""Memory, Remembrance and Public History in Germany and Israel.""",2016,USD,18000,1.0,18000.0
313,"Education, Documentation and Research",Successor Organization,"Hebrew University Institute of Contemporary Jewry, Oral History Division",Jerusalem,,Israel,"$12,077 ","Toward integrating the Gampel-Mazor Collection of 266 testimonies into the Oral History Division's database of child survivor testimonies, and digitizing and adding these testimonies to the online catalogue.",2016,USD,12077,1.0,12077.0
314,"Education, Documentation and Research",Successor Organization,Hedva Eibeshitz Institute of Holocaust Studies,Haifa,,Israel,"$45,842 ",Toward the Holocaust Memory Youth Trustees program; teachers' in-service studies; and study days for middle and senior high school students.,2016,USD,45842,1.0,45842.0
315,Social Services,Successor Organization,Hevel Modiin Regional Council,Shoham,,Israel,"$129,150 ","Toward renovating the day center, establishing a mentally frail unit and purchasing furnishings. ",2016,USD,129150,1.0,129150.0
316,"Education, Documentation and Research",Successor Organization,Hillel Israel,Jerusalem,,Israel,"$81,498 ","Toward continued funding of Hillel's ""Zachor veKabed"" project on six campuses.",2016,USD,81498,1.0,81498.0
317,"Education, Documentation and Research",Successor Organization,Hitachdut Yotzei Czechoslovakia,Ramat Gan,,Israel,"$5,663 ","Toward translating into English and publishing ""The Star of David in the Tatry Mountains.""",2016,USD,5663,1.0,5663.0
318,"Education, Documentation and Research",Successor Organization,Hitahdut Oley (former) Yugoslavia,Tel Aviv,,Israel,"$10,080 ","Toward production costs for ""Holocaust in Yugoslavia.""",2016,USD,10080,1.0,10080.0
319,Social Services,Successor Organization,Holon Municipality,Holon,,Israel,"$87,822 ",Toward establishing a mentally frail unit at the Elcharizi day center and purchasing furnishings.,2016,USD,87822,1.0,87822.0
320,"Education, Documentation and Research",Successor Organization,Jewish Agency for Israel,Jerusalem,,Israel,"$76,452 ",Toward the Holocaust education program in the FSU Heftziba network of Jewish Day and Sunday Schools.,2016,USD,76452,1.0,76452.0
